DrugID,UniprotID,Scores
DB00955,Q8TDS4,0.975895274
DB12789,P22001,0.975895274
DB00748,P05141,0.975895274
DB00748,P12236,0.975895274
DB00902,P51649,0.975895274
DB03085,P13500,0.975895274
DB00828,Q92206,0.975895274
DB01180,P38606,0.975895274
DB00961,P61073,0.975797689
DB01438,P10253,0.975797689
DB06809,P69905,0.975797689
DB01438,O43451,0.975797689
DB00474,P61073,0.975797689
DB00410,Q9NYX4,0.975797689
DB00894,P03886,0.975602549
DB00427,P03886,0.975602549
DB01619,P45954,0.975602549
DB00961,Q04206,0.975602549
DB00902,P03886,0.975602549
DB01616,P98194,0.975602549
DB00828,Q9NR96,0.975602549
DB00474,Q04206,0.975602549
DB00894,P98194,0.975602549
DB00919,P98194,0.975602549
DB00427,P98194,0.975602549
DB00902,P98194,0.975602549
DB00919,P03886,0.975602549
DB01616,P03886,0.975602549
DB00226,P49674,0.975504994
DB11160,P05141,0.975309912
DB01421,Q6GI75,0.975309912
DB01158,Q9F663,0.975309912
DB01438,P23469,0.975309912
DB11160,P12236,0.975309912
DB12532,Q05318,0.975309912
DB00389,Q3MS49,0.975309912
DB00498,Q04206,0.975309912
DB01082,P26676,0.975309912
DB00876,K9N7C7,0.975309912
DB00452,P26676,0.975309912
DB01438,P38606,0.975309912
DB01599,Q9NR33,0.975309912
DB14783,Q04206,0.975309912
DB06809,P10620,0.975309912
DB06809,P28161,0.975309912
DB00293,K9N7C7,0.975309912
DB01157,P78527,0.975309912
DB01158,P0AD64,0.975309912
DB06809,Q04760,0.975309912
DB11160,P12235,0.975309912
DB00293,P0C6X7,0.975309912
DB06809,Q16873,0.975309912
DB01438,Q13332,0.975309912
DB00293,P0DTD1,0.975309912
DB12532,Q9UQD0,0.975309912
DB03085,O15554,0.975309912
DB01438,P61073,0.97511487
DB00405,P05141,0.975017363
DB01438,Q9NR82,0.975017363
DB00419,P49674,0.975017363
DB00235,P23469,0.975017363
DB00419,Q9NY46,0.975017363
DB01170,P49674,0.975017363
DB00405,P12235,0.975017363
DB00405,P12236,0.975017363
DB01091,P11413,0.975017363
DB00235,Q13332,0.975017363
DB09257,P69905,0.975017363
DB00419,P35218,0.975017363
DB06718,P11413,0.975017363
DB01170,Q96GD4,0.975017363
DB00419,P23280,0.975017363
DB06718,O60391,0.975017363
DB00419,Q07699,0.975017363
DB00235,P38606,0.975017363
DB01170,P10253,0.974822379
DB01170,O43451,0.974822379
DB00750,P61073,0.974822379
DB00226,P29466,0.974724902
DB00235,Q9NR82,0.974724902
DB00226,P24385,0.974724902
DB01619,P98194,0.974724902
DB06766,P11413,0.974724902
DB06766,O60391,0.974724902
DB00226,P51812,0.974724902
DB00262,P17752,0.974724902
DB01619,P03886,0.974724902
DB01180,P12235,0.974529976
DB01180,P12236,0.974529976
DB01180,P05141,0.974529976
DB00876,P0DTD1,0.97433509
DB01082,Q05318,0.97433509
DB00452,Q05318,0.97433509
DB01426,P78527,0.97433509
DB12532,P26676,0.97433509
DB01438,Q04206,0.97433509
DB00928,P80511,0.97433509
DB11587,P19634,0.97433509
DB01070,Q8TDS4,0.97433509
DB03085,Q6FHJ7,0.97433509
DB00355,P0C6X7,0.97433509
DB00479,Q6GI75,0.97433509
DB01421,P49674,0.97433509
DB01299,Q3MS49,0.97433509
DB11587,P19801,0.97433509
DB01382,P0DTD1,0.97433509
DB05246,P0ADY7,0.97433509
DB00302,Q6GI75,0.97433509
DB06780,Q3MS49,0.97433509
DB01421,P31151,0.974237661
DB01421,P07359,0.974237661
DB01089,Q13332,0.974237661
DB00427,P05230,0.974237661
DB01421,P07204,0.974237661
DB01089,P23469,0.974237661
DB01089,P38606,0.974237661
DB02925,Q15825,0.974042833
DB02925,P19320,0.974042833
DB01438,P00747,0.974042833
DB00735,O60391,0.974042833
DB00524,P11413,0.974042833
DB01121,Q16739,0.974042833
DB09552,Q9F663,0.974042833
DB00498,P23786,0.974042833
DB00419,P02818,0.974042833
DB02925,P48051,0.974042833
DB08936,P05230,0.974042833
DB03085,Q99456,0.974042833
DB02925,Q92806,0.974042833
DB00735,P11413,0.974042833
DB02925,P07327,0.974042833
DB09552,P0AD64,0.974042833
DB01070,Q16790,0.974042833
DB01421,P06715,0.973848044
DB11587,P61073,0.973848044
DB08799,P05230,0.973848044
DB00410,Q07699,0.973848044
DB01084,P11413,0.973653294
DB00961,P05141,0.973653294
DB01438,O75762,0.973653294
DB00961,P12235,0.973653294
DB01170,P30530,0.973653294
DB04864,P05141,0.973653294
DB00235,P00747,0.973653294
DB01170,P29466,0.973653294
DB01170,P51813,0.973653294
DB04864,P12235,0.973653294
DB01170,P51451,0.973653294
DB01170,P51812,0.973653294
DB00262,Q96GD4,0.973653294
DB00410,P00492,0.973653294
DB00961,P12236,0.973653294
DB01170,P42680,0.973653294
DB01170,P24385,0.973653294
DB01170,P06213,0.973653294
DB01438,Q7Z2W7,0.973653294
DB01170,P42681,0.973653294
DB00750,Q04206,0.973653294
DB01084,O60391,0.973653294
DB04864,P12236,0.973653294
DB11328,P95029,0.973653294
DB01121,P61073,0.973555933
DB00479,P00492,0.973458583
DB01438,Q9UNP4,0.973361242
DB13158,Q3MS49,0.973361242
DB01382,P0C6X7,0.973361242
DB05246,Q9NRF9,0.973361242
DB01157,P78559,0.973361242
DB12924,Q3MS49,0.973361242
DB00884,P0C6X7,0.973361242
DB01298,P98194,0.973361242
DB01421,P29466,0.973361242
DB03754,P37088,0.973361242
DB01158,P61073,0.973361242
DB11496,P0AD64,0.973361242
DB01298,P03886,0.973361242
DB05246,O95298,0.973361242
DB00525,O75311,0.973361242
DB00452,Q15878,0.973361242
DB12532,P11137,0.973361242
DB00769,Q3MS49,0.973361242
DB00419,Q9ULX7,0.973361242
DB12532,Q15746,0.973361242
DB00525,P11413,0.973361242
DB00217,P21430,0.973361242
DB03754,P51170,0.973361242
DB00452,Q07864,0.973361242
DB01260,Q3MS49,0.973361242
DB09040,P23560,0.973361242
DB00226,P00492,0.973361242
DB00884,P0DTD1,0.973361242
DB12532,Q9UI33,0.973361242
DB01082,Q07864,0.973361242
DB00596,Q3MS49,0.973361242
DB01599,L0LZJ6,0.973361242
DB00828,Q07699,0.973361242
DB01130,Q3MS49,0.973361242
DB00267,Q3MS49,0.973361242
DB00525,O60391,0.973361242
DB01421,P24385,0.973361242
DB00302,P49674,0.973361242
DB01106,P0DTD1,0.973361242
DB05246,Q03393,0.973361242
DB01106,P0C6X7,0.973361242
DB08809,P78527,0.973361242
DB03754,P51168,0.973361242
DB06781,Q3MS49,0.973361242
DB03754,P51172,0.973361242
DB01082,Q15878,0.973361242
DB00884,K9N7C7,0.973361242
DB01421,P51812,0.973361242
DB11496,Q9F663,0.973361242
